1,10,1
1,40,2
1,51,2
1,64,2
1,77,1
1,82,-1
1,84,-1
1,113,1
1,126,2
1,127,1
1,165,-1
1,177,2
1,178,2
1,188,2
1,210,2
1,217,-1
1,239,1
1,245,1
1,267,1
1,278,2
1,290,2
1,323,2
1,347,-1
1,350,1
1,363,-1
1,374,2
1,401,-1
1,402,2
1,412,-1
1,413,2
1,450,-1
1,453,2
1,466,1
1,475,2
1,492,2
1,508,2
1,516,-1
1,521,2
1,522,-1
1,543,1
1,549,-1
2,10,1
2,40,2
2,51,2
2,64,2
2,77,1
2,82,-1
2,84,-1
2,113,1
2,126,2
2,127,1
2,165,-1
2,177,2
2,178,2
2,188,2
2,210,2
2,217,-1
2,239,1
2,245,1
2,267,1
2,278,2
2,290,2
2,323,2
2,347,-1
2,350,1
2,363,-1
2,374,2
2,401,-1
2,402,2
2,412,-1
2,413,2
2,450,-1
2,453,2
2,466,1
2,475,2
2,508,2
2,516,-1
2,521,2
2,522,-1
2,543,1
2,549,-1
3,10,1
3,40,2
3,51,2
3,64,2
3,77,1
3,82,-1
3,83,2
3,84,-1
3,113,1
3,126,2
3,127,1
3,165,-1
3,177,2
3,178,2
3,188,2
3,210,2
3,217,-1
3,239,1
3,267,1
3,278,2
3,290,2
3,323,2
3,325,1
3,347,-1
3,350,1
3,363,-1
3,374,2
3,401,-1
3,402,2
3,412,-1
3,413,2
3,450,-1
3,453,2
3,466,1
3,475,2
3,508,2
3,516,-1
3,521,2
3,522,-1
3,543,1
3,549,-1
4,10,1
4,13,2
4,15,2
4,582,2
4,40,2
4,42,2
4,64,2
4,77,2
4,82,2
4,84,-1
4,96,2
4,106,2
4,126,2
4,127,2
4,138,-1
4,165,-1
4,170,2
4,176,1
4,177,2
4,178,2
4,185,2
4,188,-1
4,217,2
4,218,2
4,227,2
4,239,1
4,245,1
4,258,2
4,276,2
4,277,2
4,278,2
4,288,1
4,290,2
4,292,2
4,314,2
4,323,-1
4,333,2
4,337,-1
4,342,2
4,347,-1
4,363,-1
4,368,2
4,374,2
4,387,2
4,402,2
4,403,2
4,405,2
4,412,-1
4,413,-1
4,420,2
4,424,2
4,425,1
4,434,1
4,450,-1
4,452,2
4,453,2
4,466,1
4,475,2
4,481,1
4,483,2
4,484,2
4,490,1
4,492,2
4,502,2
4,505,2
4,508,2
4,520,1
4,522,-1
4,542,1
4,549,2
4,551,2
4,564,2
5,5,2
5,10,1
5,582,2
5,40,2
5,42,2
5,62,2
5,64,-1
5,68,-1
5,77,-1
5,82,1
5,84,-1
5,91,2
5,126,2
5,127,2
5,165,-1
5,167,1
5,177,2
5,178,2
5,183,-1
5,188,-1
5,217,2
5,225,2
5,233,2
5,239,1
5,245,2
5,256,2
5,277,2
5,278,2
5,290,2
5,292,2
5,308,2
5,323,2
5,325,1
5,347,-1
5,363,-1
5,374,2
5,384,2
5,387,2
5,391,2
5,402,2
5,412,-1
5,413,-1
5,431,2
5,444,2
5,450,2
5,453,2
5,466,1
5,475,2
5,492,2
5,496,2
5,504,2
5,505,2
5,508,1
5,522,-1
5,541,2
5,549,2
5,575,-1
6,10,1
6,13,1
6,15,-1
6,582,2
6,40,2
6,44,2
6,64,2
6,77,2
6,82,2
6,83,2
6,84,2
6,121,2
6,126,2
6,138,2
6,156,2
6,165,-1
6,177,2
6,178,2
6,184,2
6,185,2
6,190,-1
6,217,1
6,234,1
6,239,2
6,245,1
6,258,2
6,278,2
6,281,2
6,290,2
6,303,2
6,323,2
6,325,1
6,347,2
6,348,2
6,355,2
6,363,-1
6,368,2
6,374,1
6,401,-1
6,402,2
6,412,-1
6,413,-1
6,434,2
6,447,2
6,450,-1
6,453,2
6,459,2
6,475,2
6,492,2
6,496,2
6,498,2
6,505,2
6,508,2
6,522,-1
7,4,2
7,8,-1
7,582,2
7,40,2
7,42,2
7,64,-1
7,77,2
7,82,-1
7,84,-1
7,124,2
7,126,2
7,127,-1
7,138,2
7,140,2
7,146,2
